forecast_period,time,zone,rainfall_mm,elevation_m,effective_drainage,blockage_percent,vulnerability,risk_score,risk_level
NOW,2026-09-09 21:00:00,Velachery,0.0,8.0,29.25,35,0.6085,0,LOW
NOW,2026-09-09 21:00:00,T_Nagar,0.0,16.0,48.0,20,0.384,0,LOW
NOW,2026-09-09 21:00:00,Adyar,0.0,13.0,59.5,15,0.3675,0,LOW
NOW,2026-09-09 21:00:00,Anna_Nagar,0.0,15.0,58.5,10,0.331,0,LOW
NOW,2026-09-09 21:00:00,Perambur,0.0,11.0,37.5,25,0.5085,0,LOW
NOW,2026-09-09 21:00:00,Tambaram,0.0,21.0,67.5,10,0.211,0,LOW
+1 HOUR,2026-09-09 22:00:00,Velachery,0.0,8.0,29.25,35,0.6085,0,LOW
+1 HOUR,2026-09-09 22:00:00,T_Nagar,0.0,16.0,48.0,20,0.384,0,LOW
+1 HOUR,2026-09-09 22:00:00,Adyar,0.0,13.0,59.5,15,0.3675,0,LOW
+1 HOUR,2026-09-09 22:00:00,Anna_Nagar,0.0,15.0,58.5,10,0.331,0,LOW
+1 HOUR,2026-09-09 22:00:00,Perambur,0.0,11.0,37.5,25,0.5085,0,LOW
+1 HOUR,2026-09-09 22:00:00,Tambaram,0.0,21.0,67.5,10,0.211,0,LOW
+2 HOURS,2026-09-09 23:00:00,Velachery,0.0,8.0,29.25,35,0.6085,0,LOW
+2 HOURS,2026-09-09 23:00:00,T_Nagar,0.0,16.0,48.0,20,0.384,0,LOW
+2 HOURS,2026-09-09 23:00:00,Adyar,0.0,13.0,59.5,15,0.3675,0,LOW
+2 HOURS,2026-09-09 23:00:00,Anna_Nagar,0.0,15.0,58.5,10,0.331,0,LOW
+2 HOURS,2026-09-09 23:00:00,Perambur,0.0,11.0,37.5,25,0.5085,0,LOW
+2 HOURS,2026-09-09 23:00:00,Tambaram,0.0,21.0,67.5,10,0.211,0,LOW
+3 HOURS,2026-09-10 00:00:00,Velachery,0.0,8.0,29.25,35,0.6085,0,LOW
+3 HOURS,2026-09-10 00:00:00,T_Nagar,0.0,16.0,48.0,20,0.384,0,LOW
+3 HOURS,2026-09-10 00:00:00,Adyar,0.0,13.0,59.5,15,0.3675,0,LOW
+3 HOURS,2026-09-10 00:00:00,Anna_Nagar,0.0,15.0,58.5,10,0.331,0,LOW
+3 HOURS,2026-09-10 00:00:00,Perambur,0.0,11.0,37.5,25,0.5085,0,LOW
+3 HOURS,2026-09-10 00:00:00,Tambaram,0.0,21.0,67.5,10,0.211,0,LOW
